shot_number,lat_lowestmode,lon_lowestmode,sensitivity,quality_flag,rh,max_rh
19640016800109452,-13.730080059092755,-44.15003580178585,0.9460683465003967,1,"[-5.09000015 -4.5999999  -4.23000002 -3.93000007 -3.70000005 -3.48000002
 -3.28999996 -3.0999999  -2.95000005 -2.83999991 -2.69000006 -2.57999992
 -2.47000003 -2.3499999  -2.27999997 -2.17000008 -2.08999991 -2.01999998
 -1.90999997 -1.83000004 -1.75999999 -1.67999995 -1.63999999 -1.57000005
 -1.49000001 -1.41999996 -1.38       -1.30999994 -1.23000002 -1.19000006
 -1.12       -1.08000004 -1.00999999 -0.97000003 -0.88999999 -0.86000001
 -0.77999997 -0.74000001 -0.70999998 -0.63       -0.58999997 -0.56
 -0.47999999 -0.44       -0.41       -0.33000001 -0.28999999 -0.25999999
 -0.18000001 -0.14       -0.11       -0.03        0.          0.03
  0.07        0.14        0.18000001  0.22        0.28999999  0.33000001
  0.37        0.44        0.47999999  0.51999998  0.58999997  0.63
  0.70999998  0.74000001  0.77999997  0.86000001  0.88999999  0.97000003
  1.00999999  1.08000004  1.12        1.19000006  1.26999998  1.30999994
  1.38        1.46000004  1.52999997  1.57000005  1.63999999  1.72000003
  1.78999996  1.90999997  1.98000002  2.05999994  2.17000008  2.24000001
  2.3499999   2.47000003  2.57999992  2.73000002  2.88000011  3.02999997
  3.22000003  3.44000006  3.74000001  4.1500001   4.94000006]",4.940000057220459
19640017000109453,-13.72966623412177,-44.149719272446006,0.9420387148857117,1,"[-5.80000019 -5.28000021 -4.9000001  -4.55999994 -4.26000023 -4.03999996
 -3.81999993 -3.67000008 -3.48000002 -3.32999992 -3.22000003 -3.06999993
 -2.95000005 -2.83999991 -2.73000002 -2.6500001  -2.53999996 -2.47000003
 -2.3499999  -2.27999997 -2.20000005 -2.13000011 -2.05999994 -1.98000002
 -1.90999997 -1.83000004 -1.75999999 -1.67999995 -1.63999999 -1.57000005
 -1.49000001 -1.46000004 -1.38       -1.30999994 -1.26999998 -1.19000006
 -1.15999997 -1.08000004 -1.03999996 -0.97000003 -0.93000001 -0.86000001
 -0.81999999 -0.77999997 -0.70999998 -0.67000002 -0.58999997 -0.56
 -0.51999998 -0.44       -0.41       -0.37       -0.28999999 -0.25999999
 -0.22       -0.14       -0.11       -0.07        0.          0.03
  0.07        0.14        0.18000001  0.22        0.28999999  0.33000001
  0.37        0.44        0.47999999  0.51999998  0.58999997  0.63
  0.70999998  0.74000001  0.81999999  0.86000001  0.93000001  0.97000003
  1.03999996  1.08000004  1.15999997  1.23000002  1.26999998  1.34000003
  1.41999996  1.49000001  1.57000005  1.63999999  1.72000003  1.83000004
  1.90999997  2.01999998  2.08999991  2.24000001  2.3499999   2.5
  2.6500001   2.83999991  3.0999999   3.44000006  4.1500001 ]",4.150000095367432
19640017200109454,-13.729252229436126,-44.149402746255696,0.937415599822998,1,"[-4.75       -4.30000019 -3.93000007 -3.63000011 -3.4000001  -3.18000007
 -3.02999997 -2.83999991 -2.73000002 -2.57999992 -2.47000003 -2.3499999
 -2.24000001 -2.17000008 -2.05999994 -1.98000002 -1.90999997 -1.83000004
 -1.75999999 -1.67999995 -1.61000001 -1.52999997 -1.49000001 -1.41999996
 -1.34000003 -1.30999994 -1.23000002 -1.19000006 -1.12       -1.08000004
 -1.00999999 -0.97000003 -0.88999999 -0.86000001 -0.81999999 -0.74000001
 -0.70999998 -0.67000002 -0.58999997 -0.56       -0.51999998 -0.44
 -0.41       -0.37       -0.33000001 -0.25999999 -0.22       -0.18000001
 -0.14       -0.07       -0.03        0.          0.03        0.11
  0.14        0.18000001  0.22        0.25999999  0.33000001  0.37
  0.41        0.47999999  0.51999998  0.56        0.58999997  0.67000002
  0.70999998  0.74000001  0.81999999  0.86000001  0.93000001  0.97000003
  1.00999999  1.08000004  1.12        1.19000006  1.23000002  1.30999994
  1.38        1.41999996  1.49000001  1.57000005  1.61000001  1.67999995
  1.75999999  1.83000004  1.90999997  2.01999998  2.08999991  2.17000008
  2.27999997  2.3900001   2.5         2.61999989  2.76999998  2.92000008
  3.0999999   3.32999992  3.58999991  4.          4.78999996]",4.789999961853027
19640017400109455,-13.728838244266177,-44.14908623599027,0.9411842226982117,1,"[-5.19999981 -4.71000004 -4.30000019 -4.         -3.70000005 -3.48000002
 -3.28999996 -3.0999999  -2.95000005 -2.79999995 -2.69000006 -2.57999992
 -2.47000003 -2.3499999  -2.27999997 -2.17000008 -2.08999991 -2.01999998
 -1.94000006 -1.87       -1.78999996 -1.72000003 -1.63999999 -1.57000005
 -1.49000001 -1.46000004 -1.38       -1.30999994 -1.26999998 -1.19000006
 -1.15999997 -1.08000004 -1.03999996 -0.97000003 -0.93000001 -0.86000001
 -0.81999999 -0.77999997 -0.70999998 -0.67000002 -0.58999997 -0.56
 -0.51999998 -0.44       -0.41       -0.37       -0.33000001 -0.25999999
 -0.22       -0.18000001 -0.11       -0.07       -0.03        0.03
  0.07        0.11        0.14        0.22        0.25999999  0.28999999
  0.37        0.41        0.44        0.51999998  0.56        0.58999997
  0.67000002  0.70999998  0.77999997  0.81999999  0.86000001  0.93000001
  0.97000003  1.03999996  1.08000004  1.15999997  1.23000002  1.26999998
  1.34000003  1.38        1.46000004  1.52999997  1.61000001  1.67999995
  1.75999999  1.83000004  1.90999997  1.98000002  2.05999994  2.17000008
  2.24000001  2.3499999   2.47000003  2.61999989  2.73000002  2.88000011
  3.06999993  3.25        3.51999998  3.8900001   4.5999999 ]",4.599999904632568
19640017600109456,-13.728424528324949,-44.1487697584163,0.9320885539054871,1,"[-5.05000019 -4.5999999  -4.26000023 -4.         -3.77999997 -3.58999991
 -3.4000001  -3.25       -3.0999999  -2.95000005 -2.83999991 -2.73000002
 -2.61999989 -2.5        -2.43000007 -2.31999993 -2.24000001 -2.17000008
 -2.05999994 -1.98000002 -1.90999997 -1.83000004 -1.75999999 -1.67999995
 -1.63999999 -1.57000005 -1.49000001 -1.41999996 -1.38       -1.30999994
 -1.23000002 -1.19000006 -1.12       -1.08000004 -1.00999999 -0.97000003
 -0.88999999 -0.86000001 -0.81999999 -0.74000001 -0.70999998 -0.67000002
 -0.58999997 -0.56       -0.51999998 -0.44       -0.41       -0.37
 -0.28999999 -0.25999999 -0.22       -0.18000001 -0.11       -0.07
 -0.03        0.03        0.07        0.11        0.14        0.22
  0.25999999  0.28999999  0.37        0.41        0.44        0.47999999
  0.56        0.58999997  0.67000002  0.70999998  0.74000001  0.81999999
  0.86000001  0.93000001  0.97000003  1.03999996  1.08000004  1.15999997
  1.19000006  1.26999998  1.34000003  1.41999996  1.49000001  1.52999997
  1.61000001  1.67999995  1.78999996  1.87        1.94000006  2.05999994
  2.17000008  2.27999997  2.3900001   2.5         2.6500001   2.83999991
  3.02999997  3.25        3.54999995  3.97000003  4.75      ]",4.75
19640017800109457,-13.728010954487155,-44.14845330255993,0.9428749084472656,1,"[-4.63999987 -4.19000006 -3.81999993 -3.51999998 -3.28999996 -3.06999993
 -2.92000008 -2.76999998 -2.61999989 -2.5        -2.3900001  -2.27999997
 -2.17000008 -2.08999991 -1.98000002 -1.90999997 -1.83000004 -1.75999999
 -1.67999995 -1.61000001 -1.52999997 -1.49000001 -1.41999996 -1.34000003
 -1.30999994 -1.23000002 -1.19000006 -1.12       -1.08000004 -1.00999999
 -0.97000003 -0.88999999 -0.86000001 -0.77999997 -0.74000001 -0.70999998
 -0.63       -0.58999997 -0.56       -0.47999999 -0.44       -0.41
 -0.37       -0.28999999 -0.25999999 -0.22       -0.18000001 -0.11
 -0.07       -0.03        0.03        0.07        0.11        0.14
  0.22        0.25999999  0.28999999  0.33000001  0.41        0.44
  0.47999999  0.56        0.58999997  0.63        0.70999998  0.74000001
  0.77999997  0.86000001  0.88999999  0.97000003  1.00999999  1.03999996
  1.12        1.15999997  1.23000002  1.30999994  1.34000003  1.41999996
  1.46000004  1.52999997  1.61000001  1.67999995  1.75999999  1.83000004
  1.90999997  1.98000002  2.05999994  2.13000011  2.20000005  2.31999993
  2.3900001   2.5         2.61999989  2.76999998  2.88000011  3.02999997
  3.22000003  3.44000006  3.70000005  4.07999992  4.78999996]",4.789999961853027
19640018000109458,-13.727597605997712,-44.14813687326275,0.9382713437080383,1,"[-4.94000006 -4.48999977 -4.11999989 -3.81999993 -3.58999991 -3.4000001
 -3.22000003 -3.02999997 -2.92000008 -2.76999998 -2.6500001  -2.53999996
 -2.43000007 -2.31999993 -2.24000001 -2.17000008 -2.05999994 -1.98000002
 -1.90999997 -1.83000004 -1.75999999 -1.67999995 -1.63999999 -1.57000005
 -1.49000001 -1.41999996 -1.38       -1.30999994 -1.26999998 -1.19000006
 -1.15999997 -1.08000004 -1.03999996 -0.97000003 -0.93000001 -0.86000001
 -0.81999999 -0.77999997 -0.70999998 -0.67000002 -0.63       -0.56
 -0.51999998 -0.47999999 -0.44       -0.37       -0.33000001 -0.28999999
 -0.22       -0.18000001 -0.14       -0.11       -0.03        0.
  0.03        0.07        0.14        0.18000001  0.22        0.25999999
  0.33000001  0.37        0.41        0.44        0.51999998  0.56
  0.58999997  0.67000002  0.70999998  0.74000001  0.81999999  0.86000001
  0.93000001  0.97000003  1.03999996  1.08000004  1.15999997  1.19000006
  1.26999998  1.30999994  1.38        1.46000004  1.49000001  1.57000005
  1.63999999  1.72000003  1.78999996  1.87        1.98000002  2.05999994
  2.17000008  2.24000001  2.3499999   2.5         2.61999989  2.76999998
  2.95000005  3.18000007  3.44000006  3.8499999   4.5999999 ]",4.599999904632568
19640018200109459,-13.727183959378175,-44.1478204308914,0.9437114000320435,1,"[-5.3499999  -4.86000013 -4.44999981 -4.11999989 -3.81999993 -3.58999991
 -3.36999989 -3.18000007 -2.99000001 -2.83999991 -2.69000006 -2.57999992
 -2.47000003 -2.3499999  -2.24000001 -2.17000008 -2.05999994 -1.98000002
 -1.90999997 -1.78999996 -1.72000003 -1.63999999 -1.61000001 -1.52999997
 -1.46000004 -1.38       -1.34000003 -1.26999998 -1.19000006 -1.15999997
 -1.08000004 -1.03999996 -0.97000003 -0.93000001 -0.86000001 -0.81999999
 -0.77999997 -0.70999998 -0.67000002 -0.58999997 -0.56       -0.51999998
 -0.44       -0.41       -0.37       -0.33000001 -0.25999999 -0.22
 -0.18000001 -0.11       -0.07       -0.03        0.          0.07
  0.11        0.14        0.18000001  0.25999999  0.28999999  0.33000001
  0.41        0.44        0.47999999  0.56        0.58999997  0.63
  0.70999998  0.74000001  0.77999997  0.86000001  0.88999999  0.97000003
  1.00999999  1.08000004  1.12        1.19000006  1.23000002  1.30999994
  1.38        1.41999996  1.49000001  1.57000005  1.63999999  1.72000003
  1.78999996  1.87        1.94000006  2.01999998  2.13000011  2.20000005
  2.31999993  2.43000007  2.53999996  2.6500001   2.79999995  2.95000005
  3.1400001   3.36999989  3.63000011  4.          4.71000004]",4.710000038146973
19640018400109460,-13.726770234957941,-44.147503989527365,0.9425454139709473,1,"[-5.15999985 -4.71000004 -4.38000011 -4.07999992 -3.81999993 -3.63000011
 -3.44000006 -3.28999996 -3.1400001  -2.99000001 -2.88000011 -2.76999998
 -2.6500001  -2.53999996 -2.47000003 -2.3499999  -2.27999997 -2.20000005
 -2.13000011 -2.05999994 -1.98000002 -1.90999997 -1.83000004 -1.75999999
 -1.67999995 -1.63999999 -1.57000005 -1.49000001 -1.46000004 -1.38
 -1.30999994 -1.26999998 -1.19000006 -1.15999997 -1.08000004 -1.03999996
 -0.97000003 -0.93000001 -0.86000001 -0.81999999 -0.74000001 -0.70999998
 -0.67000002 -0.58999997 -0.56       -0.47999999 -0.44       -0.41
 -0.33000001 -0.28999999 -0.25999999 -0.18000001 -0.14       -0.11
 -0.03        0.          0.07        0.11        0.14        0.22
  0.25999999  0.28999999  0.37        0.41        0.44        0.51999998
  0.56        0.63        0.67000002  0.74000001  0.77999997  0.86000001
  0.88999999  0.97000003  1.00999999  1.08000004  1.12        1.19000006
  1.23000002  1.30999994  1.38        1.46000004  1.49000001  1.57000005
  1.63999999  1.72000003  1.78999996  1.90999997  1.98000002  2.05999994
  2.17000008  2.27999997  2.3900001   2.5         2.6500001   2.79999995
  2.95000005  3.18000007  3.44000006  3.8499999   4.55999994]",4.559999942779541
19640018600109461,-13.72635631683984,-44.14718753964829,0.9412039518356323,1,"[-5.09000015 -4.5999999  -4.26000023 -3.97000003 -3.70000005 -3.48000002
 -3.28999996 -3.1400001  -2.99000001 -2.83999991 -2.73000002 -2.61999989
 -2.5        -2.3900001  -2.27999997 -2.20000005 -2.08999991 -2.01999998
 -1.94000006 -1.87       -1.78999996 -1.72000003 -1.63999999 -1.57000005
 -1.49000001 -1.41999996 -1.34000003 -1.30999994 -1.23000002 -1.15999997
 -1.12       -1.03999996 -1.00999999 -0.93000001 -0.88999999 -0.81999999
 -0.77999997 -0.70999998 -0.67000002 -0.58999997 -0.56       -0.47999999
 -0.44       -0.37       -0.33000001 -0.28999999 -0.22       -0.18000001
 -0.11       -0.07       -0.03        0.03        0.07        0.14
  0.18000001  0.22        0.28999999  0.33000001  0.41        0.44
  0.51999998  0.56        0.58999997  0.67000002  0.70999998  0.77999997
  0.81999999  0.88999999  0.93000001  1.00999999  1.08000004  1.12
  1.19000006  1.23000002  1.30999994  1.38        1.41999996  1.49000001
  1.57000005  1.63999999  1.72000003  1.78999996  1.87        1.94000006
  2.01999998  2.08999991  2.17000008  2.27999997  2.3499999   2.47000003
  2.57999992  2.69000006  2.79999995  2.95000005  3.0999999   3.28999996
  3.48000002  3.70000005  4.03999996  4.48999977  5.28000021]",5.28000020980835
